Instability,Abstractness
0.872500,0.022727 
0.951613,0.000000 
0.875000,0.142857 
0.941748,0.000000 
0.832432,0.000000 
0.953488,0.000000 
0.800000,0.000000 
0.885057,0.100000 
0.973684,0.000000 
0.813380,0.050000 
0.950000,0.000000 
0.835294,0.105263 
0.833333,0.083333 
0.500000,0.000000 
0.936000,0.000000 
0.917808,0.000000 
0.888889,0.090909 
1.000000,0.000000 
0.733333,0.241379 
0.804348,0.291667 
0.956522,0.000000 
0.897959,0.000000 
0.720000,0.500000 
0.794118,0.451613 
0.849237,0.135593 
0.926829,0.000000 
0.947368,0.000000 
0.932039,0.250000 
0.639344,0.000000 
0.858044,0.096154 
0.761538,0.044444 
0.814961,0.017241 
0.450000,0.500000 
0.764706,0.000000 
0.923729,0.583333 
